Snapshot Source.Name,Cost Center,Cost Center Name,Person Name,Plan Period,Plan Month,Planned Avail Hours,Planned Direct Hours,Planned Util %,Plan Age Periods
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Amara Ashby,2,2025-11,142.1,112.7,79.31,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Bennett Salazar,2,2025-11,125.2,112.7,89.98,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Camille Thorne,2,2025-11,145.7,125.9,86.42,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Devon Sandoval,2,2025-11,155.7,125.8,80.80,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Elena Lindqvist,2,2025-11,150.3,112.5,74.86,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Farid Beaumont,2,2025-11,155.6,150.6,96.80,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Grace Mbeki,2,2025-11,146.1,113.4,77.60,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Hassan Adeyemi,2,2025-11,129.5,99.1,76.52,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Imani Mensah,2,2025-11,133.8,109.5,81.84,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Jonas Whitfield,2,2025-11,148.5,121.3,81.68,0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Katya Rathore,2,2025-11,150.0,114.4,76.26,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Liam Carrasco,2,2025-11,144.6,91.5,63.27,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Maren Yilmaz,2,2025-11,152.6,136.3,89.30,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Nikhil Petrova,2,2025-11,136.2,85.2,62.54,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Odessa Duarte,2,2025-11,160.3,142.4,88.83,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Priya Halvorsen,2,2025-11,141.3,123.6,87.46,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Quentin Ferreira,2,2025-11,137.2,84.3,61.45,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Rosalind Moreau,2,2025-11,168.6,135.2,80.18,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Soren Iverson,2,2025-11,142.4,121.0,84.97,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Tamsin Vasquez,2,2025-11,160.5,122.2,76.11,0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Ulises Larkin,2,2025-11,133.0,95.3,71.69,0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Adaeze Haddad,2,2025-11,154.0,129.5,84.12,0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Bruno Kowalski,2,2025-11,130.0,85.7,65.96,0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Clara Bergstrom,2,2025-11,146.6,86.0,58.67,0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Dmitri Delacroix,2,2025-11,151.3,126.3,83.45,0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Vera Okafor,2,2025-11,126.5,113.0,89.35,0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Wren Nakamura,2,2025-11,147.5,33.5,22.73,0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Xiomara Fontaine,2,2025-11,138.1,22.6,16.38,0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Yusuf Novak,2,2025-11,160.8,114.9,71.43,0
FY26_P01_Utilization_2025-10.csv,CC-1030,Electrical Engineering,Zara Ashworth,2,2025-11,132.6,83.2,62.72,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Amara Petrova,2,2025-11,175.5,162.5,92.61,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Bennett Duarte,2,2025-11,159.9,148.8,93.08,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Camille Halvorsen,2,2025-11,111.2,46.9,42.17,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Devon Ferreira,2,2025-11,139.5,119.0,85.28,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Elena Moreau,2,2025-11,144.6,84.6,58.54,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Farid Iverson,2,2025-11,156.3,116.9,74.79,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Grace Vasquez,2,2025-11,155.7,139.8,89.82,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Hassan Larkin,2,2025-11,139.7,99.7,71.34,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Imani Okafor,2,2025-11,143.7,92.3,64.24,0
FY26_P01_Utilization_2025-10.csv,CC-2010,Project Management,Jonas Nakamura,2,2025-11,145.9,92.3,63.27,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Katya Fontaine,2,2025-11,159.0,132.3,83.20,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Liam Novak,2,2025-11,147.3,110.0,74.70,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Maren Ashworth,2,2025-11,157.1,149.5,95.16,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Nikhil Haddad,2,2025-11,141.6,114.8,81.06,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Odessa Kowalski,2,2025-11,136.2,98.0,71.98,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Priya Bergstrom,2,2025-11,151.1,142.7,94.42,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Quentin Delacroix,2,2025-11,155.4,125.8,80.97,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Rosalind Ashby,2,2025-11,184.8,120.2,65.06,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Soren Salazar,2,2025-11,142.1,102.3,72.02,0
FY26_P01_Utilization_2025-10.csv,CC-3010,Field Services,Tamsin Thorne,2,2025-11,152.6,83.7,54.87,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Adaeze Whitfield,2,2025-11,144.2,103.1,71.52,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Bruno Rathore,2,2025-11,142.4,85.4,59.99,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Clara Carrasco,2,2025-11,141.2,75.6,53.56,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Dmitri Yilmaz,2,2025-11,130.8,105.3,80.54,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Ulises Sandoval,2,2025-11,156.7,69.5,44.37,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Vera Lindqvist,2,2025-11,121.3,111.2,91.71,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Wren Beaumont,2,2025-11,161.7,144.3,89.24,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Xiomara Mbeki,2,2025-11,128.0,73.0,57.03,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Yusuf Adeyemi,2,2025-11,167.0,140.2,83.93,0
FY26_P01_Utilization_2025-10.csv,CC-4010,Digital Solutions,Zara Mensah,2,2025-11,158.6,78.7,49.64,0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Amara Ashby,3,2025-12,123.4,97.1,78.72,0
FY26_P02_Utilization_2025-11.csv,CC-1010,Structural Engineering,Bennett Salazar,3,2025-12,140.8,131.5,93.40,0
