Source.Name,Cost Center,Cost Center Name,Person Name,Target Type,Job Level,Util % YTD,Util %,Util % Target,Util % Variance,Billability % YTD,Billability %,Billability % Target,Billability % Variance,Total,Avail Total,Direct Total,Indirect Total,OT Hours,Admin,Bench,Bus Dev,Mngmt,Opportunity,Training,Other,Unpaid OT,Fringe Total,Stat & Disc,Vacation,Wellness,Unpaid Regular
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Amara Ashby,Billable Staff,L3 Senior Engineer,69.77,69.77,85.00,-15.23,66.74,66.74,78.00,-11.26,184.0,176.0,122.8,53.2,0.0,3.2,0.0,2.0,2.0,2.8,42.3,0.9,0.0,8.0,8.0,0.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Bennett Salazar,Billable Staff,L3 Senior Engineer,94.64,94.64,85.00,9.64,86.41,86.41,78.00,8.41,184.0,168.0,159.0,9.0,0.0,2.1,0.0,1.2,1.3,1.3,2.5,0.6,0.0,16.0,8.0,4.0,4.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Camille Thorne,Billable Staff,L3 Senior Engineer,88.63,88.63,85.00,3.63,77.07,77.07,78.00,-0.93,184.0,160.0,141.8,18.2,0.0,4.9,0.0,2.9,3.1,0.0,6.5,0.8,0.0,24.0,8.0,8.0,8.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Devon Sandoval,Billable Staff,L1 Analyst,83.90,83.90,80.00,3.90,78.42,78.42,73.50,4.92,184.0,172.0,144.3,27.7,0.0,4.7,5.9,1.2,1.0,6.9,7.8,0.2,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Elena Lindqvist,Billable Staff,L1 Analyst,73.65,73.65,80.00,-6.35,62.45,62.45,73.50,-11.05,184.0,156.0,114.9,41.1,0.0,5.7,20.7,0.6,0.8,0.0,12.6,0.7,0.0,28.0,8.0,16.0,4.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Farid Beaumont,Billable Staff,L3 Senior Engineer,98.48,98.48,85.00,13.48,87.84,87.84,78.00,9.84,148.0,132.0,130.0,2.0,0.0,0.4,0.0,0.3,0.3,0.1,0.8,0.1,0.0,16.0,8.0,8.0,0.0,36.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Grace Mbeki,Billable Staff,L1 Analyst,73.09,73.09,80.00,-6.91,64.59,64.59,73.50,-8.91,172.0,152.0,111.1,40.9,0.0,4.1,25.3,0.7,0.9,0.0,7.9,2.0,0.0,20.0,8.0,12.0,0.0,12.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Hassan Adeyemi,Billable Staff,L2 Engineer,71.94,71.94,85.00,-13.06,67.45,67.45,78.00,-10.55,192.0,180.0,129.5,50.5,8.0,5.6,33.9,1.7,1.1,0.0,8.1,0.1,0.0,12.0,8.0,0.0,4.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Imani Mensah,Billable Staff,L3 Senior Engineer,76.98,76.98,85.00,-8.02,71.96,71.96,78.00,-6.04,184.0,172.0,132.4,39.6,0.0,7.4,17.7,3.6,5.3,0.0,5.4,0.2,0.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Jonas Whitfield,Billable Staff,L1 Analyst,80.24,80.24,80.00,0.24,71.52,71.52,73.50,-1.98,184.0,164.0,131.6,32.4,0.0,5.2,15.5,0.8,1.0,0.0,8.9,1.0,0.0,20.0,8.0,12.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1010,Structural Engineering,Katya Rathore,Billable Staff,L1 Analyst,73.33,73.33,80.00,-6.67,66.96,66.96,73.50,-6.54,184.0,168.0,123.2,44.8,0.0,7.1,27.1,1.0,0.7,0.0,6.5,2.4,10.0,16.0,8.0,8.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Liam Carrasco,Project Leadership,L4 Manager,59.14,59.14,60.00,-0.86,55.56,55.56,55.00,0.56,198.0,186.0,110.0,76.0,14.0,5.0,20.1,7.2,33.8,0.0,7.5,2.4,12.0,12.0,8.0,4.0,0.0,0.0
FY26_P01_Utilization_2025-10.csv,CC-1020,Mechanical Engineering,Maren Yilmaz,Billable Staff,L3 Senior Engineer,92.33,92.33,85.00,7.33,86.30,86.30,78.00,8.30,184.0,172.0,158.8,13.2,0.0,4.2,0.0,2.4,1.8,1.0,3.0,0.8,0.0,12.0,8.0,4.0,0.0,0.0
